 0.0068   	 0.0057   	 0.0667  
 0.0117   	 0.0225  	 0.0422  
 0.0154   	 -0.0149  	 0.0338  
 0.0192   	 -0.0132  	 0.0291  
 0.0237   	 -0.0107   	 0.0255  
 0.0284   	 0.0439   	 0.0245  
 0.0331   	 0.0096  	 0.0229  
 0.0436   	 -0.0487  	 0.0209  
 0.0668   	 -0.0619   	 0.0189  
 0.1101   	 0.0198   	 0.0178  
 0.1581   	 -0.0084   	 0.0192  
 0.1991   	 0.0582   	 0.0194  
 0.2433   	 0.0532   	 0.0223  
 0.2790   	 0.0322   	 0.0224  
 0.3172   	 0.0411   	 0.0244  
 0.3564   	 0.0721   	 0.0242  
 0.3998   	 0.1400   	 0.0327  
 0.4383   	 0.0999   	 0.0284  
 0.4876   	 0.0492   	 0.0284  
 0.5435   	 0.0390   	 0.0275  
 0.5989   	 0.0750   	 0.0283  
 0.6671   	 0.0109   	 0.0323  
 0.7833   	 0.0845  	 0.0296  
 0.8912   	 -0.0487   	 0.0347  
 1.0386   	 0.0059   	 0.0372  
 1.2949   	 0.0248   	 0.0447  
 0.01376  	 0.0001   	 0.0290  
 0.01970  	 0.0191   	 0.0256  
 0.02603  	 0.0450   	 0.0245  
 0.03432  	 0.1117   	 0.0230  
 0.05863  	 0.0588   	 0.0224  
 0.11585  	 0.0460   	 0.0183  
 0.17641  	 0.0794   	 0.0211  
 0.23664  	 0.0896   	 0.0205  
 0.28563  	 0.0729   	 0.0207  
 0.35740  	 0.1413   	 0.0166  
 0.44228  	 0.1194   	 0.0170  
 0.52328  	 0.1372   	 0.0184  
 0.58521  	 0.1740   	 0.0205  
 0.64596  	 0.1161   	 0.0230  
 0.71506  	 0.1019   	 0.0233  
 0.76831  	 0.1068   	 0.0275  
 0.83455  	 0.1168   	 0.0289  
 0.91428  	 0.0747   	 0.0278  
 1.02478  	 0.1598   	 0.0378  
 1.32375  	 0.0961   	 0.0845  
 0.01165  	 0.0060   	 0.0678  
 0.03231  	 0.0074   	 0.0342  
 0.10263  	 0.0445   	 0.0281  
 0.27094  	 0.1330   	 0.0441  
 0.36235  	 0.0859   	 0.0326  
 0.44353  	 0.1551   	 0.0372  
 0.51734  	 0.1418   	 0.0356  
 0.60119  	 0.1570   	 0.0408  
 0.69209  	 0.0804   	 0.0499  
 0.80419  	 0.0885   	 0.0535  
 0.90584  	 0.0796   	 0.0804  
 0.99577  	 0.0995  	 0.0845  
 1.14750  	 -0.2520  	 0.1446  
 1.27500  	 -0.0517  	 0.1333  
 1.36667  	 -0.0710  	 0.1869  
 1.55100  	 -0.0407   	 0.4000  
 0.01536  	 0.0186   	 0.1599  
 0.02986  	 0.0441   	 0.0892  
 0.06467  	 0.0387   	 0.0635  
 0.21600  	 0.1356   	 0.0912  
 0.33167  	 0.0720   	 0.0551  
 0.43777  	 0.1798   	 0.0446  
 0.50223  	 0.2119   	 0.0462  
 0.59268  	 0.1092   	 0.0417  
 0.69855  	 0.0930   	 0.0607  
 0.81217  	 0.0422   	 0.0607  
 0.91862  	 0.0140   	 0.0767  
 0.99863  	 0.1141  	 0.0912  
 1.14975  	 -0.0473   	 0.1273  
 1.26625  	 0.0566  	 0.1138  
 1.36667  	 -0.1848  	 0.1360  
 1.75500  	 -0.5993   	 0.3501  
 0.17000  	 0.4532   	 0.3813  
 0.25000  	 0.4471   	 1.1402  
 0.44000  	 0.2069   	 0.3973  
 0.68000  	 0.4517   	 0.2367  
 0.82857  	 0.3608  	 0.2116  
 1.02000  	 -0.1046  	 0.2142  
 1.37625  	 -0.0509  	 0.1866  
 1.60200  	 -0.2954  	 0.2299  
 2.17375  	 -0.0616  	 0.2020  
 2.65857  	 -0.5738  	 0.2612  
 3.30000  	 -0.4595  	 0.2219  
 4.10429  	 -0.8771  	 0.2301  
 4.90000  	 -0.5275  	 0.9500  
 6.4450		 -1.1004	 0.4628
