0.0068	0.0057	0.0667
0.0117	0.0225	0.0422
0.0154	-0.0149	0.0338
0.0192	-0.0132	0.0291
0.0237	-0.0107	0.0255
0.0284	0.0439	0.0245
0.0331	0.0096	0.0229
0.0436	-0.0487	0.0209
0.0668	-0.0619	0.0189
0.1101	0.0198	0.0178
0.1581	-0.0084	0.0192
0.1991	0.0582	0.0194
0.2433	0.0532	0.0223
0.2790	0.0322	0.0224
0.3172	0.0411	0.0244
0.3564	0.0721	0.0242
0.3998	0.1400	0.0327
0.4383	0.0999	0.0284
0.4876	0.0492	0.0284
0.5435	0.0390	0.0275
0.5989	0.0750	0.0283
0.6671	0.0109	0.0323
0.7833	0.0845	0.0296
0.8912	-0.0487	0.0347
1.0386	0.0059	0.0372
1.2949	0.0248	0.0447
